"time (hrs)"	"OD600"	"strain"	"medium"	"biorep"	"techrep"
50.0016666666667	0.658	"ura3"	"CM_uracil"	"A"	2
50.5016666666667	0.644	"ura3"	"CM_uracil"	"A"	2
51.0016666666667	0.662	"ura3"	"CM_uracil"	"A"	2
51.5016666666667	0.677	"ura3"	"CM_uracil"	"A"	2
52.0016666666667	0.651	"ura3"	"CM_uracil"	"A"	2
52.5016666666667	0.661	"ura3"	"CM_uracil"	"A"	2
53.0016666666667	0.675	"ura3"	"CM_uracil"	"A"	2
53.5016666666667	0.674	"ura3"	"CM_uracil"	"A"	2
54.0016666666667	0.671	"ura3"	"CM_uracil"	"A"	2
54.5016666666667	0.677	"ura3"	"CM_uracil"	"A"	2
55.0016666666667	0.672	"ura3"	"CM_uracil"	"A"	2
55.5016666666667	0.758	"ura3"	"CM_uracil"	"A"	2
56.0016666666667	0.596	"ura3"	"CM_uracil"	"A"	2
56.5016666666667	0.687	"ura3"	"CM_uracil"	"A"	2
57.0016666666667	0.689	"ura3"	"CM_uracil"	"A"	2
57.5016666666667	0.653	"ura3"	"CM_uracil"	"A"	2
58.0016666666667	0.656	"ura3"	"CM_uracil"	"A"	2
58.5016666666667	0.661	"ura3"	"CM_uracil"	"A"	2
59.0016666666667	0.662	"ura3"	"CM_uracil"	"A"	2
59.5016666666667	0.678	"ura3"	"CM_uracil"	"A"	2
60.0016666666667	0.669	"ura3"	"CM_uracil"	"A"	2
60.5016666666667	0.665	"ura3"	"CM_uracil"	"A"	2
61.0016666666667	0.659	"ura3"	"CM_uracil"	"A"	2
61.5016666666667	0.676	"ura3"	"CM_uracil"	"A"	2
62.0016666666667	0.671	"ura3"	"CM_uracil"	"A"	2
62.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	2
63.0016666666667	0.659	"ura3"	"CM_uracil"	"A"	2
63.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	2
64.0016666666667	0.667	"ura3"	"CM_uracil"	"A"	2
64.5013888888889	0.656	"ura3"	"CM_uracil"	"A"	2
65.0016666666667	0.662	"ura3"	"CM_uracil"	"A"	2
65.5016666666667	0.67	"ura3"	"CM_uracil"	"A"	2
66.0016666666667	0.66	"ura3"	"CM_uracil"	"A"	2
66.5016666666667	0.665	"ura3"	"CM_uracil"	"A"	2
67.0016666666667	0.674	"ura3"	"CM_uracil"	"A"	2
67.5016666666667	0.65	"ura3"	"CM_uracil"	"A"	2
68.0016666666667	0.667	"ura3"	"CM_uracil"	"A"	2
68.5016666666667	0.631	"ura3"	"CM_uracil"	"A"	2
69.0016666666667	0.649	"ura3"	"CM_uracil"	"A"	2
69.5016666666667	0.652	"ura3"	"CM_uracil"	"A"	2
70.0016666666667	0.647	"ura3"	"CM_uracil"	"A"	2
70.5016666666667	0.652	"ura3"	"CM_uracil"	"A"	2
71.0016666666667	0.65	"ura3"	"CM_uracil"	"A"	2
71.5016666666667	0.652	"ura3"	"CM_uracil"	"A"	2
72.0016666666667	0.625	"ura3"	"CM_uracil"	"A"	2
72.5016666666667	0.642	"ura3"	"CM_uracil"	"A"	2
0	0.122	"ura3"	"CM_uracil"	"A"	3
0.501666666666667	0.138	"ura3"	"CM_uracil"	"A"	3
1.00166666666667	0.119	"ura3"	"CM_uracil"	"A"	3
1.50166666666667	0.133	"ura3"	"CM_uracil"	"A"	3
2.00166666666667	0.137	"ura3"	"CM_uracil"	"A"	3
2.50166666666667	0.129	"ura3"	"CM_uracil"	"A"	3
3.00166666666667	0.135	"ura3"	"CM_uracil"	"A"	3
3.50166666666667	0.136	"ura3"	"CM_uracil"	"A"	3
4.00166666666667	0.13	"ura3"	"CM_uracil"	"A"	3
4.50166666666667	0.126	"ura3"	"CM_uracil"	"A"	3
5.00166666666667	0.134	"ura3"	"CM_uracil"	"A"	3
5.50166666666667	0.132	"ura3"	"CM_uracil"	"A"	3
6.00166666666667	0.132	"ura3"	"CM_uracil"	"A"	3
6.50166666666667	0.142	"ura3"	"CM_uracil"	"A"	3
7.00166666666667	0.145	"ura3"	"CM_uracil"	"A"	3
7.50166666666667	0.144	"ura3"	"CM_uracil"	"A"	3
8.00166666666667	0.137	"ura3"	"CM_uracil"	"A"	3
8.50166666666667	0.139	"ura3"	"CM_uracil"	"A"	3
9.00166666666667	0.145	"ura3"	"CM_uracil"	"A"	3
9.50166666666667	0.154	"ura3"	"CM_uracil"	"A"	3
10.0016666666667	0.152	"ura3"	"CM_uracil"	"A"	3
10.5016666666667	0.159	"ura3"	"CM_uracil"	"A"	3
11.0016666666667	0.175	"ura3"	"CM_uracil"	"A"	3
11.5016666666667	0.156	"ura3"	"CM_uracil"	"A"	3
12.0016666666667	0.174	"ura3"	"CM_uracil"	"A"	3
12.5016666666667	0.171	"ura3"	"CM_uracil"	"A"	3
13.0016666666667	0.183	"ura3"	"CM_uracil"	"A"	3
13.5016666666667	0.183	"ura3"	"CM_uracil"	"A"	3
14.0016666666667	0.189	"ura3"	"CM_uracil"	"A"	3
14.5016666666667	0.2	"ura3"	"CM_uracil"	"A"	3
15.0016666666667	0.209	"ura3"	"CM_uracil"	"A"	3
15.5016666666667	0.216	"ura3"	"CM_uracil"	"A"	3
16.0016666666667	0.221	"ura3"	"CM_uracil"	"A"	3
16.5016666666667	0.21	"ura3"	"CM_uracil"	"A"	3
17.0016666666667	0.218	"ura3"	"CM_uracil"	"A"	3
17.5016666666667	0.225	"ura3"	"CM_uracil"	"A"	3
18.0016666666667	0.237	"ura3"	"CM_uracil"	"A"	3
18.5016666666667	0.264	"ura3"	"CM_uracil"	"A"	3
19.0016666666667	0.246	"ura3"	"CM_uracil"	"A"	3
19.5016666666667	0.263	"ura3"	"CM_uracil"	"A"	3
20.0016666666667	0.27	"ura3"	"CM_uracil"	"A"	3
20.5016666666667	0.284	"ura3"	"CM_uracil"	"A"	3
21.0016666666667	0.301	"ura3"	"CM_uracil"	"A"	3
21.5016666666667	0.305	"ura3"	"CM_uracil"	"A"	3
22.0016666666667	0.318	"ura3"	"CM_uracil"	"A"	3
22.5016666666667	0.323	"ura3"	"CM_uracil"	"A"	3
23.0016666666667	0.336	"ura3"	"CM_uracil"	"A"	3
